Temp,Cp
1030,60.9
1030,60.9
1030,71
1030,80.8
1030,65.9
1030,74.5
1030,36.3
1030,76
1030,75.4
1030,76
1030,63.6
1040,70.6
1040,72.1
1040,80.4
1040,65.4
1040,63.1
1040,51.4
1040,65.7
1040,65.7
1040,69.5
1040,36.4
1040,56.8
1040,76
1050,69.2
1050,59
1050,62.5
1050,60.8
1050,58.4
1050,46.7
1050,50.9
1050,49.1
1050,53.2
1050,53.2
1050,63.8
1050,62.6
1060,54.4
1060,37.2
1060,55.6
1060,52.6
1060,46.7
1060,48.7
1060,48.7
1060,64.5
1060,55.6
1060,36.5
1060,48.3
1070,51.1
1070,63.3
1070,63.8
1070,37.2
1070,50.2
1070,49.8
1070,44.2
1070,39.7
1070,46.5
1070,48.3
1070,48.3
1070,66.8
1070,69.9
1080,49.5
1080,47.9
1080,47.2
1080,47.2
1080,46
1080,46.5
1080,44.6
1090,46.5
1090,42.3
1090,46.6
1090,46.6
1100,47
1100,64.5
1100,45.6
1100,42.1
1100,47.8
1100,47.8
1100,42.8
1100,45.3
1100,43.9
1100,43.9
1100,42.1
1110,44.9
1110,41.1
1110,45.7
1110,45.7
1120,39.5
1120,61.2
1120,44.4
1120,40.7
1120,43.5
1120,43.5
1120,40.8
1120,44.3
1130,45.3
1130,43.9
1130,40.2
1130,44.7
1130,44.7
1130,40.5
1140,43.7
1140,44.4
1140,44.4
1140,40
1140,43.6
1150,43.7
1150,43.2
1150,39.5
1150,39.7
1150,43.3
1150,43.3
1150,39.2
1160,42.8
1160,43.2
1160,43.2
1160,39.5
1160,43
1170,39.7
1170,42.5
1170,44.4
1170,36.7
1170,43.2
1170,43.2
1180,42.8
1180,43.1
1180,43.1
1180,39
1180,42.5
1180,42.5
1180,38.1
1180,32.1
1190,33.8
1190,44.4
1190,39.9
1190,33.3
1190,39.9
1190,33.3
1200,39.3
1200,44.4
1200,52.8
1200,37.3
1200,37.3
1200,42.3
1200,33.4
1200,33.4
1200,34.1
1200,32.2
1210,44.4
1210,36.6
1210,36.6
1220,39.5
1220,37.6
1220,44.4
1220,30.8
1230,35.9
1250,36
1250,42.1
1250,34.5
1250,32.2
1260,40.4
1270,38.8
1270,41.1
1270,38.1
1270,31.8
1280,36.1
1300,36.3
1300,42
1300,34.1
1300,34.1
1300,34.9
1300,32.3
1320,38.6
1320,32.7
1350,42.2
1350,35.3
1350,32.4
1370,38.8
1370,39
1370,33.9
1400,42.3
1400,34.8
1400,34.8
1400,35.7
1400,32.5
1420,39.5
1420,34.8
1450,42.5
1450,36.1
1450,32.5
1470,38.8
1470,42.1
1470,40
1470,33.8
1470,35.8
1500,38.8
1500,42.8
1500,35.5
1500,35.5
1500,36.5
1500,36.1
1500,32.7
1520,38.8
1520,40.7
1520,36.5
1520,36.4
1540,36.6
1550,43
1550,36.9
1550,32.8
1560,36.9
1570,42.5
1570,33.9
1580,37.1
1600,43.3
1600,36.3
1600,36.3
1600,37.3
1600,37.3
1600,32.9
1620,41.8
1620,37.6
1640,37.8
1650,43.5
1660,43.6
1660,38.1
1670,43.5
1670,36.7
1670,39.8
1670,36.7
1670,39.8
1670,41.5
1670,33.1
1670,35.7
1680,50
1680,50
1690,42.8
1700,40.2
1700,40.2
1700,41.5
1700,35.9
1710,43.8
1710,40.3
1720,43.2
1720,42.1
1740,42.7
1750,36.2
1760,43.7
1770,43.9
1770,43.2
1780,44
1800,35.1
1800,41.3
1800,41.3
1800,44.7
1810,45.3
1810,41.4
1810,42
1810,41.4
1810,42
1810,36.6
